x= 264, y= 44, width= 4, height= 4
x= 268, y= 32, width= 4, height= 16
x= 272, y= 32, width= 4, height= 16
x= 276, y= 32, width= 4, height= 16
x= 280, y= 32, width= 8, height= 8
x= 280, y= 40, width= 8, height= 8
x= 256, y= 48, width= 4, height= 4
x= 256, y= 52, width= 4, height= 8
x= 256, y= 60, width= 4, height= 4
x= 260, y= 48, width= 8, height= 4
x= 260, y= 52, width= 8, height= 4
x= 260, y= 56, width= 8, height= 4
x= 260, y= 60, width= 8, height= 4
x= 268, y= 48, width= 4, height= 16
x= 272, y= 48, width= 8, height= 8
x= 280, y= 48, width= 8, height= 8
x= 272, y= 56, width= 4, height= 4
x= 276, y= 56, width= 4, height= 4
x= 272, y= 60, width= 8, height= 4
x= 280, y= 56, width= 8, height= 8
x= 288, y= 32, width= 8, height= 4
x= 288, y= 36, width= 8, height= 4
x= 288, y= 40, width= 4, height= 8
x= 292, y= 40, width= 4, height= 8
x= 296, y= 32, width= 8, height= 4
x= 296, y= 36, width= 8, height= 4
x= 296, y= 40, width= 8, height= 4
x= 296, y= 44, width= 8, height= 4
x= 304, y= 32, width= 4, height= 16
x= 308, y= 32, width= 8, height= 8
x= 308, y= 40, width= 8, height= 8
x= 316, y= 32, width= 4, height= 16
x= 288, y= 48, width= 4, height= 16
x= 292, y= 48, width= 4, height= 16
x= 296, y= 48, width= 4, height= 8
x= 296, y= 56, width= 4, height= 8
x= 300, y= 48, width= 4, height= 8
x= 300, y= 56, width= 4, height= 8
x= 304, y= 48, width= 4, height= 8
x= 308, y= 48, width= 8, height= 4
x= 308, y= 52, width= 8, height= 4
x= 316, y= 48, width= 4, height= 8
x= 304, y= 56, width= 8, height= 4
x= 312, y= 56, width= 8, height= 4
x= 304, y= 60, width= 16, height= 4
x= 320, y= 0, width= 4, height= 4
x= 320, y= 4, width= 4, height= 4
x= 320, y= 8, width= 4, height= 8
x= 324, y= 0, width= 4, height= 8
x= 328, y= 0, width= 4, height= 8
x= 324, y= 8, width= 8, height= 4
x= 324, y= 12, width= 8, height= 4
x= 332, y= 0, width= 4, height= 16
x= 336, y= 0, width= 8, height= 8
x= 336, y= 8, width= 8, height= 8
x= 344, y= 0, width= 4, height= 8
x= 344, y= 8, width= 4, height= 8
x= 348, y= 0, width= 4, height= 16
x= 320, y= 16, width= 4, height= 16
x= 324, y= 16, width= 4, height= 16
x= 328, y= 16, width= 4, height= 16
x= 332, y= 16, width= 4, height= 16
x= 336, y= 16, width= 4, height= 8
x= 336, y= 24, width= 4, height= 8
x= 340, y= 16, width= 8, height= 4
x= 340, y= 20, width= 8, height= 8
x= 340, y= 28, width= 4, height= 4
x= 344, y= 28, width= 4, height= 4
x= 348, y= 16, width= 4, height= 8
x= 348, y= 24, width= 4, height= 8
x= 320, y= 32, width= 16, height= 4
x= 320, y= 36, width= 8, height= 4
x= 328, y= 36, width= 8, height= 4
x= 320, y= 40, width= 8, height= 4
x= 328, y= 40, width= 8, height= 4
x= 320, y= 44, width= 4, height= 4
x= 324, y= 44, width= 8, height= 4
x= 332, y= 44, width= 4, height= 4
x= 336, y= 32, width= 8, height= 16
x= 344, y= 32, width= 4, height= 16
x= 348, y= 32, width= 4, height= 8
x= 348, y= 40, width= 4, height= 8
x= 320, y= 48, width= 4, height= 4
x= 324, y= 48, width= 8, height= 4
x= 332, y= 48, width= 4, height= 4
x= 320, y= 52, width= 16, height= 8
x= 320, y= 60, width= 16, height= 4
x= 336, y= 48, width= 4, height= 8
x= 336, y= 56, width= 4, height= 8
x= 340, y= 48, width= 8, height= 4
x= 340, y= 52, width= 8, height= 4
x= 340, y= 56, width= 8, height= 8
x= 348, y= 48, width= 4, height= 16
x= 256, y= 64, width= 8, height= 32
x= 264, y= 64, width= 4, height= 8
x= 264, y= 72, width= 4, height= 16
x= 264, y= 88, width= 4, height= 8
x= 268, y= 64, width= 8, height= 16
x= 268, y= 80, width= 8, height= 16
x= 276, y= 64, width= 4, height= 8
x= 276, y= 72, width= 4, height= 16
x= 276, y= 88, width= 4, height= 8
x= 280, y= 64, width= 4, height= 16
x= 280, y= 80, width= 4, height= 16
x= 284, y= 64, width= 4, height= 32
x= 288, y= 64, width= 4, height= 8
x= 288, y= 72, width= 4, height= 8
x= 292, y= 64, width= 4, height= 16
x= 296, y= 64, width= 8, height= 8
x= 296, y= 72, width= 8, height= 4
x= 296, y= 76, width= 8, height= 4
x= 304, y= 64, width= 4, height= 16
x= 308, y= 64, width= 8, height= 16
x= 316, y= 64, width= 4, height= 16
x= 288, y= 80, width= 4, height= 16
